********Training has started***************
 Epoch: [1 | 30]
(49/512) Data: 0.487s | Batch: 23.944s | Total: 0:19:33 | ETA: 0:00:00 | Loss: 0.4031 | Loss_x: 0.3502 | Loss_u: 0.0203 | W: 2.6172
(50/512) Data: 0.489s | Batch: 23.927s | Total: 0:19:56 | ETA: 0:00:00 | Loss: 0.4062 | Loss_x: 0.3527 | Loss_u: 0.0205 | W: 2.6196
(51/512) Data: 0.492s | Batch: 23.929s | Total: 0:20:20 | ETA: 0:00:00 | Loss: 0.4024 | Loss_x: 0.3491 | Loss_u: 0.0204 | W: 2.6221
(52/512) Data: 0.487s | Batch: 23.924s | Total: 0:20:44 | ETA: 0:00:00 | Loss: 0.4048 | Loss_x: 0.3510 | Loss_u: 0.0205 | W: 2.6245
(53/512) Data: 0.483s | Batch: 23.930s | Total: 0:21:08 | ETA: 0:00:00 | Loss: 0.4032 | Loss_x: 0.3499 | Loss_u: 0.0203 | W: 2.6270
(54/512) Data: 0.479s | Batch: 23.915s | Total: 0:21:31 | ETA: 0:00:00 | Loss: 0.4038 | Loss_x: 0.3506 | Loss_u: 0.0203 | W: 2.6294
(55/512) Data: 0.474s | Batch: 23.908s | Total: 0:21:54 | ETA: 0:00:00 | Loss: 0.4002 | Loss_x: 0.3472 | Loss_u: 0.0202 | W: 2.6318
(56/512) Data: 0.470s | Batch: 23.918s | Total: 0:22:19 | ETA: 0:00:00 | Loss: 0.3959 | Loss_x: 0.3431 | Loss_u: 0.0201 | W: 2.6343
(57/512) Data: 0.467s | Batch: 23.924s | Total: 0:22:43 | ETA: 0:00:00 | Loss: 0.3973 | Loss_x: 0.3444 | Loss_u: 0.0201 | W: 2.6367
(58/512) Data: 0.463s | Batch: 23.923s | Total: 0:23:07 | ETA: 0:00:00 | Loss: 0.3951 | Loss_x: 0.3420 | Loss_u: 0.0202 | W: 2.6392
(59/512) Data: 0.459s | Batch: 23.903s | Total: 0:23:30 | ETA: 0:00:00 | Loss: 0.3974 | Loss_x: 0.3445 | Loss_u: 0.0201 | W: 2.6416
